1,78
2,86
3,79
4,90
5,89
6,80
7,90
8,77
9,78
10,77
11,79
12,91
13,94
14,95
15,76
16,93
17,80
18,97
19,76
20,81
21,90
22,96
23,90
24,92
25,94
26,81
27,97
28,91
29,83
30,86
31,90
32,99
33,84
34,93
35,98
36,79
37,94
38,78
39,94
40,93
41,86
42,81
43,88
44,84
45,89
46,77
47,93
48,78
49,95
50,85
51,100
52,78
53,83
54,84
55,78
56,86
57,79
58,84
59,94
60,90
61,87
62,83
63,97
64,97
65,82
66,77
67,95
68,88
69,77
70,92
71,87
72,87
73,78
74,78
75,84
76,103
77,105
78,105
79,105
80,105
81,104
82,101
83,101
84,103
85,103
86,103
87,102
88,103
89,102
90,104
91,103
92,102
93,101
94,105
95,103
96,105
97,101
98,104
99,105
100,105
