566,38
1006,38
479,29
1098,33
1128,38
232,2
681,38
103,40
753,22
222,12
1143,20
411,20
39,32
588,2
259,31
769,42
412,38
1077,38
1104,38
860,20
203,21
150,37
99,30
1002,38
127,40
350,3
192,30
40,23
662,38
858,20
176,40
657,20
601,28
353,34
1203,20
1190,20
484,38
959,20
333,34
728,29
553,38
1122,20
622,28
469,38
159,26
784,12
599,28
370,39
142,2
396,21
72,36
355,41
1250,38
644,12
534,38
491,38
1016,38
1043,38
376,39
1155,20
1186,38
874,20
1012,38
7,32
747,22
692,38
854,20
897,20
1057,38
130,7
251,31
9,6
296,25
546,20
1212,38
96,15
578,41
276,25
338,41
454,20
1222,20
1089,38
481,20
583,40
550,28
291,39
1199,20
385,19
971,38
562,28
929,20
655,38
191,26
438,20
930,20
102,32
364,12
440,20
2,32
1040,20
84,43
616,28
731,29
814,38
1086,38
664,38
910,20
1246,38
839,38
516,20
526,20
14,7
791,38
373,1
100,35
197,32
66,35
893,20
965,20
8,2
340,11
292,41
536,38
133,2
1176,38
1091,38
559,38
808,38
91,6
1134,38
878,20
436,20
152,32
1217,20
503,20
403,21
867,20
1007,38
882,20
923,20
902,20
111,15
310,11
1148,20
379,1
54,27
202,32
1227,38
1060,38
264,39
957,20
300,20
886,20
337,1
1123,38
677,38
21,32
1036,20
981,20
1048,38
828,38
694,38
263,41
147,23
216,26
207,37
132,35
863,20
78,23
81,37
675,38
107,6
772,42
236,1
609,38
876,20
1257,38
1033,20
346,1
1215,12
165,37
1183,38
508,20
592,28
891,20
539,20
718,20
398,21
1172,20
134,27
935,20
365,39
245,4
614,28
995,38
968,38
921,38
114,26
167,32
630,20
641,12
289,34
943,20
199,32
1150,20
382,31
378,1
737,29
695,38
1088,38
511,20
836,38
720,29
812,38
1113,20
999,38
540,20
219,6
746,22
1234,20
448,38
369,34
10,32
161,2
517,20
394,18
104,2
688,38
409,21
266,11
270,39
606,28
865,20
1120,20
1208,20
707,38
529,12
246,5
427,38
149,40
759,12
623,28
151,21
157,32
500,20
561,38
771,38
1238,2
478,12
551,38
631,38
1004,38
317,43
37,32
1110,38
477,19
205,15
415,6
905,20
252,31
320,19
1020,38
413,20
475,20
1065,38
405,21
52,27
1111,20
1090,38
613,1
256,19
505,12
240,1
46,23
286,14
537,20
846,38
1000,38
760,12
827,38
1018,38
1058,38
925,20
330,41
30,13
1152,20
982,20
1228,38
672,38
215,13
1031,20
750,22
1146,20
766,42
455,38
184,6
187,37
309,1
449,20
1209,38
1195,20
200,10
637,38
977,38
339,11
302,11
941,20
774,42
1132,38
556,38
853,38
445,38
1233,20
1025,20
830,38
47,23
726,29
749,22
568,28
956,20
238,1
527,38
519,20
498,38
683,38
1229,2
